img_code,avg_r,avg_g,avg_b
1180187740,221,220,216
1195004827,241,241,241
1213710695,211,208,201
1262635089,206,231,235
1223377524,149,149,149
1300845620,218,219,219
1254318913,148,137,157
1297724663,206,231,235
1199364218,143,143,143
1213526427,219,188,164
1146224410,105,108,111
1289775017,216,211,206
1248066440,198,197,195
1281269484,63,168,204
1250238624,171,171,172
1289090513,229,231,232
1200748066,187,182,183
1196083861,228,228,228
1189143194,75,162,185
973190966,170,176,179
183243665,137,123,109
1160164585,215,216,216
185215276,113,86,68
53271926,119,113,103
519515993,98,78,44
1196338289,84,61,49
184867318,222,223,223
184616145,123,91,66
492809898,169,166,152
173150593,198,151,82
1204588122,98,98,98
1270632719,91,79,80
631143107,72,81,82
183319682,200,151,87
107488644,197,180,170
185054560,233,211,161
1204426375,129,129,129
874662662,236,237,237
1216263825,226,227,227
1135854031,92,79,65
1222666417,131,103,91
1146224410,105,108,111
1207663571,100,99,100
1271514173,146,152,158
155596576,199,190,183
527617369,94,86,81
1198748390,158,168,158
683810883,117,114,111
675153393,179,180,184
1219157397,127,116,110
1191452002,129,119,109
844477146,114,94,74
89007588,123,123,119
1161240357,133,124,117
553360221,116,87,75
1180187740,221,220,216
488471764,99,94,100
1157979345,131,126,118
669311833,73,123,153
1173194289,122,119,119
1190200652,112,138,134
1304289911,124,110,96
1218961153,202,188,175
1094493624,177,157,156
1091901746,164,169,129
1189323424,212,230,235
1224347044,239,237,234
1313442604,183,192,194
1093160982,172,146,146
1282525825,127,130,128
1170261174,159,168,169
1173484406,187,149,105
1096171442,163,141,129
184869906,154,155,140
858387500,112,115,119
1281754776,162,108,94
1287148666,233,221,210
1156941097,100,81,76
1218961128,189,155,136
1250398501,211,188,167
1197369584,226,226,226
1281612114,189,216,235
1129202445,235,236,239
1297724689,204,230,234
1165137466,237,237,237
1211443622,53,68,91
507492207,216,216,217
1226305020,239,239,239
1300013178,222,223,224
1179803850,208,226,232
1292193960,190,212,219
1189151784,151,201,211
1304845476,31,43,64
1294372139,241,239,237
1142490221,61,97,110
541298636,223,223,224
618067486,242,242,242
1293980330,165,146,164
1202209630,33,44,84
1213117628,189,214,212
1025153766,200,198,199
1298705032,180,180,180
1179318284,206,232,235
1198394230,204,205,205
1180187740,221,220,216
1222726364,49,154,204
1220761734,205,231,235
