img_code,avg_r,avg_g,avg_b
509011881,133,127,112
1290326293,133,208,215
1095167058,187,185,184
1153705551,201,234,241
509011807,152,146,134
812722432,67,68,77
1262681125,207,184,184
57421583,146,141,134
1153400642,193,189,179
1150693472,203,203,203
1182436440,208,176,150
1218115713,206,182,172
1191744336,186,184,176
1293388093,132,139,137
1216673974,112,103,104
1188768276,134,136,134
1184287729,139,140,141
1284970958,160,154,153
1162632977,223,225,226
1161313454,174,168,165
1211622412,152,139,129
1261636033,152,131,119
104821087,134,102,83
1159560350,140,149,155
1157633063,109,140,144
104821116,156,117,94
941029696,69,64,63
881817942,100,100,100
157693949,154,139,122
1138859136,197,192,189
915255348,187,207,194
1137048262,200,134,82
171571297,211,166,127
1065043970,161,173,180
171590466,221,187,159
517253083,218,171,105
517310763,215,174,117
925737742,205,185,159
541836000,152,136,133
167890561,213,213,212
913055250,209,158,105
1253916708,230,229,210
1325947414,127,126,126
636632652,214,214,214
1253926432,239,219,218
1169160371,241,241,241
1061453284,84,119,172
519687598,226,211,198
107908210,191,190,187
1213927716,238,246,249
1283843095,242,242,242
TR007476,83,89,103
TR001716,194,169,139
pha030000109,70,100,122
ngs58_0205,152,128,102
ngs11_0069,123,137,133
ngs0_9324,57,55,55
ngs0_5233,106,106,125
medwt31032,102,123,167
medwt31017,186,133,92
lpibn12517_02,92,109,130
1094465614,153,145,148
1250307252,164,158,146
613777524,172,170,172
1208376119,112,115,100
1040504314,181,178,176
1178753240,141,127,104
1135084417,136,122,112
200068172-001,100,106,98
1250306461,166,166,155
871311386,137,117,117
1192343525,235,225,225
1270689724,245,245,246
1200707067,165,139,104
1177490829,52,171,174
1271279857,207,191,233
884350280,233,233,233
1152848595,249,224,217
1084909636,207,226,232
1165406357,161,134,115
1270154679,78,166,190
182188515,85,128,176
1069840882,83,76,76
157529625,83,94,116
518247394,59,88,114
903568264,220,221,221
1272546355,242,242,242
1087650770,142,158,171
869302164,112,113,171
958953510,139,145,126
1216027095,244,244,244
1291627052,179,122,106
1220485840,43,112,193
1224388366,215,237,236
1208157127,247,204,45
1168080557,244,244,244
1317487274,238,187,98
1211608021,74,120,184
1292297534,56,36,79
1084838856,119,134,164
471102149,237,233,231
BC4996-002,236,222,204
91389655,220,218,212
827914900,160,153,151
172202319,84,48,24
174702179,79,60,48
155277576,216,200,169
1190645744,163,152,127
1165580364,99,86,67
137436120,230,227,225
1299580461,101,93,85
494705516,156,150,143
638601928,165,162,154
1248399153,120,122,111
495813002,206,201,202
1241865734,182,191,181
171320852,134,128,125
497154128,135,123,116
473961724,138,129,111
154946423,182,175,168
1198509330,234,230,229
1132326713,55,45,35
148124096,216,209,207
583857946,236,219,205
477123598,67,33,49
1297683254,102,102,106
1199662428,241,241,241
1185256894,151,136,129
1184216905,173,158,145
1187007033,240,240,240
1180187740,221,220,216
1266858252,147,123,107
1280385511,42,62,79
1128252197,46,55,71
1254825733,63,53,81
1196044470,48,89,103
1252669607,205,230,234
1017193718,66,85,119
1175691444,229,227,218
872019580,150,148,148
1080795506,234,234,234
900788144,228,228,228
1185144701,210,236,244
1285752746,167,167,167
1167115273,222,221,221
998812434,243,243,243
695544970,235,231,229
1283232663,227,236,239
1155459225,26,21,19
1187147861,151,150,128
171021377,184,174,171
1081824440,185,187,157
1057253610,127,128,127
953511340,188,178,122
1184265522,163,158,152
147205304,139,136,137
109350430,177,134,129
1215798706,169,160,140
1270821597,128,129,126
1237619417,148,183,106
1128240897,95,87,85
1214593272,71,79,81
1339033196,157,169,134
1237325795,150,176,172
1237618992,189,209,148
1127353853,167,174,174
1238763258,158,164,151
927666868,183,177,107
1339031152,131,141,116
625080338,45,61,63
1095312442,132,146,151
1176650711,131,123,119
1294083996,235,191,171
1314627531,82,97,103
458668053,114,105,109
175479328,141,140,140
867287738,104,77,64
1159364755,130,109,110
940034814,153,154,151
157612256,86,108,121
1215461811,119,90,71
1291735058,160,167,175
174646320,130,139,149
1125314621,108,100,99
182216823,154,147,145
92982287,193,188,177
92982288,196,190,180
1212129365,105,105,105
1152480350,231,231,231
wstms01193,194,157,146
stk93840cor,212,193,160
stk92512cor,202,180,169
stk92404cor,234,219,209
stk92323cor,235,221,219
stk92320cor,228,215,211
stk92258cor,224,203,191
stk92055cor,224,212,199
stk91819cor,174,156,146
stk91815cor,186,172,164
1263221422,209,211,213
1224299345,213,235,222
1136356531,242,242,242
913518190,210,210,210
1256530089,92,91,91
1165632991,165,169,185
936186594,243,243,243
954914310,193,193,202
1206199148,205,231,234
1019143772,233,236,236
1267220839,179,177,197
1262271993,129,135,139
1297604574,156,149,140
1087301088,236,237,237
1217013655,203,224,222
1056100294,212,215,211
1206595116,241,241,242
1224244012,169,199,230
1192921956,238,237,233
1163692163,239,240,240
1190158331,136,136,135
157637737,13,10,7
133625273,219,220,219
182175214,20,14,9
1223165810,229,227,224
1271963828,96,81,58
866656056,240,240,240
157187128,43,24,12
598715928,234,234,234
113584338,214,209,201
1200758333,151,156,159
488536442,148,124,134
1250588906,181,180,231
1195455865,56,81,104
1207090508,45,49,66
912018754,130,111,124
473284352,91,116,124
1251156375,111,130,132
1221227577,140,124,105
1186957660,146,147,151
1157956503,220,220,220
838965566,192,192,196
1213347700,208,208,208
1173888768,241,241,241
1265438524,223,223,223
1200055742,206,232,235
182188389,236,230,223
507842562,228,228,228
155438989,62,131,155
185234890,220,220,220
1217421462,183,183,181
1251377620,158,166,175
1196076925,193,192,194
1276626711,206,231,235
146672189,200,204,160
866487560,217,217,217
1221028735,128,101,99
496798851,202,201,195
1221978792,241,239,235
1088417818,209,230,235
1164352026,233,233,233
1195004827,241,241,241
1180972324,234,234,234
1176451173,231,231,231
1178910233,241,241,241
1165724605,213,230,236
1262635044,205,230,234
171584424,169,150,135
1049883642,108,103,92
1250529689,158,134,136
916493964,121,108,114
1219642993,92,75,72
1280066582,141,119,90
89127856,212,217,212
527115207,108,142,111
472359881,198,185,178
1278929349,130,117,103
1192922881,240,238,235
904172104,183,175,147
1255431778,113,128,126
1226977845,104,96,107
528474010,176,161,147
1031430214,147,143,111
1094338162,119,126,121
1096035138,135,141,140
1176439818,143,114,83
